0.0020,0.0039,0.0021,0.0039,0.0020
0.0038,0.0068,0.0038,0.0067,0.0038
0.0078,0.0105,0.0078,0.0103,0.0078
0.0437,0.0363,0.0449,0.0373,0.0437
0.0015,0.0049,0.0014,0.0049,0.0015
0.0019,0.0055,0.0020,0.0055,0.0019
0.0021,0.0041,0.0022,0.0041,0.0021
0.0031,0.0065,0.0033,0.0065,0.0031
0.0030,0.0076,0.0053,0.0076,0.0030
0.0048,0.0076,0.0048,0.0075,0.0048
0.0014,0.0078,0.0014,0.0078,0.0014
0.0017,0.0057,0.0017,0.0056,0.0017
0.0014,0.0040,0.0014,0.0040,0.0014
0.0020,0.0059,0.0020,0.0060,0.0020
0.0019,0.0052,0.0019,0.0051,0.0019
0.0023,0.0057,0.0023,0.0057,0.0023
0.0088,0.0107,0.0092,0.0102,0.0088
0.0040,0.0068,0.0041,0.0065,0.0040
0.0017,0.0050,0.0017,0.0049,0.0017
0.0012,0.0038,0.0012,0.0035,0.0012
0.0015,0.0046,0.0016,0.0044,0.0015
0.0034,0.0065,0.0036,0.0064,0.0034
0.0018,0.0046,0.0018,0.0046,0.0018
0.0013,0.0047,0.0014,0.0047,0.0013
0.0059,0.0079,0.0063,0.0074,0.0059
0.0021,0.0059,0.0029,0.0057,0.0021
0.0019,0.0053,0.0019,0.0053,0.0019
0.0018,0.0037,0.0018,0.0036,0.0018
0.0018,0.0035,0.0019,0.0035,0.0018
0.0034,0.0075,0.0036,0.0075,0.0034
0.0020,0.0050,0.0021,0.0050,0.0020
0.0248,0.0221,0.0232,0.0220,0.0248
0.0072,0.0092,0.0078,0.0090,0.0072
0.0016,0.0045,0.0016,0.0044,0.0016
0.0012,0.0036,0.0012,0.0036,0.0012
0.0035,0.0060,0.0035,0.0060,0.0035
0.0021,0.0038,0.0022,0.0038,0.0021
0.0054,0.0081,0.0060,0.0081,0.0054
0.0038,0.0061,0.0040,0.0061,0.0038
0.0016,0.0035,0.0016,0.0034,0.0016
0.0014,0.0037,0.0014,0.0036,0.0014
0.0019,0.0047,0.0020,0.0044,0.0019
0.0067,0.0074,0.0071,0.0077,0.0067
0.0341,0.0307,0.0347,0.0299,0.0341
0.0019,0.0044,0.0020,0.0043,0.0019
0.0085,0.0110,0.0084,0.0109,0.0085
0.0047,0.0079,0.0049,0.0078,0.0047
0.0633,0.0571,0.0646,0.0575,0.0633
0.0049,0.0083,0.0058,0.0080,0.0049
0.0016,0.0037,0.0016,0.0036,0.0016
0.0214,0.0197,0.0221,0.0192,0.0214
0.0018,0.0081,0.0030,0.0081,0.0018
0.0013,0.0045,0.0014,0.0043,0.0013
0.0013,0.0031,0.0014,0.0031,0.0013
0.0017,0.0042,0.0018,0.0041,0.0017
0.0015,0.0032,0.0014,0.0032,0.0015
0.0013,0.0044,0.0015,0.0043,0.0013
0.0011,0.0030,0.0011,0.0032,0.0011
0.0017,0.0052,0.0018,0.0052,0.0017
0.0027,0.0057,0.0027,0.0056,0.0027
0.0012,0.0031,0.0013,0.0029,0.0012
0.0024,0.0041,0.0024,0.0041,0.0024
0.0052,0.0059,0.0050,0.0059,0.0052
0.0016,0.0041,0.0016,0.0041,0.0016
0.0098,0.0075,0.0098,0.0074,0.0098
0.0014,0.0032,0.0015,0.0032,0.0014
0.0118,0.0089,0.0132,0.0089,0.0118
0.0025,0.0042,0.0025,0.0042,0.0025
0.0029,0.0057,0.0029,0.0057,0.0029
0.0163,0.0154,0.0176,0.0154,0.0163
0.0019,0.0057,0.0022,0.0058,0.0019
0.0014,0.0042,0.0014,0.0040,0.0014
0.0040,0.0060,0.0040,0.0058,0.0040
0.0176,0.0146,0.0184,0.0148,0.0176
0.0048,0.0110,0.0076,0.0111,0.0048
0.0035,0.0047,0.0030,0.0047,0.0035
0.0019,0.0030,0.0021,0.0030,0.0019
0.0021,0.0042,0.0022,0.0042,0.0021
0.0068,0.0050,0.0081,0.0050,0.0068
0.0019,0.0040,0.0019,0.0037,0.0019
0.0048,0.0053,0.0057,0.0053,0.0048
0.0029,0.0047,0.0029,0.0047,0.0029
0.0040,0.0097,0.0042,0.0095,0.0040
0.0021,0.0064,0.0022,0.0063,0.0021
0.0018,0.0045,0.0018,0.0043,0.0018
0.0017,0.0051,0.0018,0.0049,0.0017
0.0021,0.0048,0.0021,0.0047,0.0021
0.0016,0.0043,0.0016,0.0044,0.0016
0.0014,0.0025,0.0012,0.0025,0.0014
0.0044,0.0071,0.0070,0.0071,0.0044
0.0019,0.0041,0.0025,0.0042,0.0019
0.0065,0.0075,0.0081,0.0074,0.0065
0.0036,0.0041,0.0045,0.0041,0.0036
0.0073,0.0110,0.0079,0.0104,0.0073
0.0022,0.0069,0.0025,0.0068,0.0022
0.0020,0.0048,0.0021,0.0047,0.0020
0.0030,0.0059,0.0032,0.0058,0.0030
0.0019,0.0047,0.0020,0.0046,0.0019
0.0042,0.0069,0.0044,0.0064,0.0042
0.0015,0.0044,0.0016,0.0044,0.0015
